,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
7616,47,Private,76612,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
17368,38,Private,278557,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
3678,52,Private,99307,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,3103,0,48,United-States,>50K
1356,34,Private,34862,Bachelors,13,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,0,1564,60,United-States,>50K
13501,42,Private,363591,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
4083,65,Private,172510,Some-college,10,Widowed,Prof-specialty,Not-in-family,White,Female,1848,0,20,Hungary,<=50K
21811,36,State-gov,223020,Some-college,10,Divorced,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K
333,41,Private,53956,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,1980,56,United-States,<=50K
30284,17,Private,99175,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,20,United-States,<=50K
11102,33,Private,309630,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
9440,20,Private,293091,11th,7,Never-married,Transport-moving,Own-child,White,Male,0,0,60,United-States,<=50K
14340,35,Local-gov,102938,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
7154,32,Private,40142,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
2053,58,Self-emp-not-inc,248841,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,15024,0,40,United-States,>50K
4385,18,Private,183930,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,<=50K
22096,55,?,389479,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,>50K
1213,44,Private,344920,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,1617,20,United-States,<=50K
16274,40,Private,299813,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,37,Dominican-Republic,<=50K
22297,17,?,151141,10th,6,Never-married,?,Own-child,White,Male,0,0,30,United-States,<=50K
14816,26,Private,174921,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
28575,55,Private,197114,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,6,United-States,>50K
397,32,Private,204374,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
19769,40,Private,346847,Assoc-voc,11,Separated,Prof-specialty,Other-relative,White,Female,0,0,40,United-States,<=50K
12580,58,Local-gov,239405,5th-6th,3,Divorced,Other-service,Other-relative,Black,Female,0,0,40,Haiti,<=50K
8362,36,Self-emp-not-inc,206520,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K
13439,21,?,188535,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,<=50K
31091,60,Local-gov,149281,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K
6774,18,?,297396,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,10,United-States,<=50K
27374,67,Private,233022,11th,7,Widowed,Adm-clerical,Unmarried,White,Female,0,0,20,United-States,<=50K
29775,18,Federal-gov,280728,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,32,United-States,<=50K
29830,36,Private,437909,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
12833,22,Private,219086,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K
459,36,Self-emp-not-inc,36270,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1977,65,United-States,>50K
18592,22,Private,401451,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,48,United-States,>50K
5088,45,Local-gov,318280,HS-grad,9,Widowed,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K
28888,59,Private,100453,7th-8th,4,Separated,Other-service,Own-child,Black,Female,0,0,38,United-States,<=50K
31399,27,Private,376150,Some-college,10,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
5290,48,Private,349151,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
24076,26,Private,132749,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,45,United-States,<=50K
8626,40,Private,201495,Bachelors,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0,45,United-States,<=50K
28869,45,Self-emp-not-inc,220978,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
10719,68,?,170182,Some-college,10,Never-married,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
5444,40,Private,260696,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
17889,22,Private,200593,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
29395,38,Private,87282,Assoc-voc,11,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
19585,48,Private,98719,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,0,0,44,United-States,<=50K
16731,23,Private,175266,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
25780,18,Private,89419,HS-grad,9,Never-married,Tech-support,Own-child,White,Female,0,0,10,United-States,<=50K
4282,35,Private,56352,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Puerto-Rico,<=50K
4484,65,Private,111095,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United-States,<=50K
5887,27,Private,278581,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
338,40,Private,139193,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,1980,48,United-States,<=50K
19532,44,Local-gov,24982,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
18494,45,Private,197418,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,48,United-States,<=50K
11923,31,Private,22201,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,>50K
19599,27,?,216479,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,24,United-States,>50K
4575,52,Self-emp-inc,132178,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K
6265,34,Private,64830,Assoc-acdm,12,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
9675,23,Private,204209,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,10,United-States,<=50K
5028,81,Self-emp-not-inc,136063,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,30,United-States,<=50K
21077,39,Self-emp-inc,172538,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
10462,24,Private,117779,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K
17514,53,Local-gov,176059,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,<=50K
31339,23,Private,70919,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,<=50K
309,23,Private,213955,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Male,0,2001,40,United-States,<=50K
25607,34,State-gov,204461,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
11094,29,Private,156819,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0,0,35,United-States,<=50K
876,34,Private,242984,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,45,United-States,>50K
16917,32,Private,176185,Some-college,10,Divorced,Exec-managerial,Other-relative,White,Male,0,0,60,United-States,<=50K
27241,32,Private,227931,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
15438,38,Private,170861,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
12651,38,Private,252250,11th,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,65,United-States,<=50K
13669,22,Private,244773,HS-grad,9,Never-married,Sales,Own-child,Black,Female,0,0,15,United-States,<=50K
15685,20,?,58740,Some-college,10,Never-married,?,Own-child,White,Male,0,0,15,United-States,<=50K
30082,24,Private,224954,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
14245,69,Private,370837,Bachelors,13,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
22055,64,Self-emp-not-inc,352712,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,55,United-States,<=50K
25584,60,Private,143932,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
4761,29,Private,182521,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K
20061,24,Private,235894,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
1805,39,Private,79331,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,15024,0,40,United-States,>50K
31396,27,?,174163,Some-college,10,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,>50K
21311,17,Private,70868,11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0,16,United-States,<=50K
12887,23,Private,175424,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
9258,51,Private,163052,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
4695,39,Local-gov,207853,12th,8,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,<=50K
23024,51,Private,59590,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,<=50K
11570,37,Private,155064,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
1620,52,Private,163998,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99999,0,45,United-States,>50K
14656,21,Private,234108,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K
12640,23,Private,143032,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,0,0,36,United-States,<=50K
12179,19,?,180976,10th,6,Never-married,?,Unmarried,White,Female,0,0,35,United-States,<=50K
8059,52,Private,131631,11th,7,Separated,Machine-op-inspct,Unmarried,Black,Male,0,0,40,United-States,<=50K
7337,27,Self-emp-inc,153546,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,White,Female,0,0,36,United-States,>50K
30107,25,Private,69413,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
20335,47,Private,329144,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,48,United-States,>50K
9249,33,Private,159442,Bachelors,13,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,<=50K
30877,70,Private,102610,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,32,United-States,<=50K
7578,30,Private,23778,7th-8th,4,Separated,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
11825,43,Self-emp-not-inc,48087,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,60,United-States,<=50K
31403,36,Private,132879,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Italy,<=50K
12238,23,Federal-gov,320294,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
27609,66,Private,262285,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,99,United-States,<=50K
19677,33,Private,199227,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
21783,20,?,304076,11th,7,Never-married,?,Own-child,Black,Female,0,0,20,United-States,<=50K
20987,23,Private,139187,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,50,United-States,<=50K
31851,20,?,71788,Some-college,10,Never-married,?,Own-child,White,Female,0,0,18,United-States,<=50K
25165,24,Private,149342,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K
18976,18,Private,92008,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,28,United-States,<=50K
31120,26,Private,135845,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,37,United-States,<=50K
14169,26,Private,330263,HS-grad,9,Separated,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K
2531,41,Self-emp-inc,220821,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,40,United-States,>50K
1008,52,Private,117496,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,1755,40,United-States,>50K
23345,32,Private,155781,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K
6869,34,Self-emp-not-inc,96245,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
23610,38,Private,183800,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K
6852,61,Private,208919,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K
25590,46,Private,368561,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
4014,41,Private,107306,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,2174,0,40,United-States,<=50K
1753,68,Local-gov,242095,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,20051,0,40,United-States,>50K
19843,34,Self-emp-not-inc,226296,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,51,United-States,<=50K
30650,21,Private,238068,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
26546,27,Private,118230,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,United-States,<=50K
3155,53,Local-gov,124094,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,5013,0,35,United-States,<=50K
29038,54,Private,185042,1st-4th,2,Separated,Priv-house-serv,Other-relative,White,Female,0,0,40,Mexico,<=50K
7194,20,Private,179423,Some-college,10,Never-married,Transport-moving,Own-child,White,Female,0,0,40,United-States,<=50K
25494,58,Private,227800,1st-4th,2,Separated,Farming-fishing,Not-in-family,Black,Male,0,0,50,United-States,<=50K
18698,24,Private,194630,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,<=50K
6844,45,Self-emp-not-inc,94962,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,England,<=50K
17473,20,Private,153516,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,30,United-States,<=50K
6709,29,Private,227890,HS-grad,9,Never-married,Protective-serv,Other-relative,Black,Male,0,0,40,United-States,<=50K
15746,19,Private,99246,11th,7,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,25,United-States,<=50K
5733,42,Private,182342,Some-college,10,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
17262,19,Private,159313,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
6599,47,Private,122026,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,0,0,50,United-States,<=50K
23108,22,Self-emp-not-inc,108506,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,0,0,75,United-States,<=50K
15535,36,Private,316298,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K
21341,49,Private,98092,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
24951,59,Private,98361,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
13709,46,Private,81497,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Female,0,0,48,United-States,<=50K
15077,57,Private,103403,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
31611,48,Private,46677,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,42,United-States,<=50K
31484,29,Private,342989,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
13150,20,Private,201204,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K
19873,26,Private,342953,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
9880,37,Private,308691,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
30203,64,Private,166715,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
28171,46,?,228620,11th,7,Widowed,?,Unmarried,Black,Female,0,0,40,United-States,<=50K
29796,23,Private,212617,Bachelors,13,Never-married,Other-service,Not-in-family,White,Male,0,0,66,Ecuador,<=50K
638,30,Self-emp-inc,173858,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,1902,40,South,>50K
13109,19,Private,299598,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,<=50K
4180,65,Private,180807,HS-grad,9,Separated,Protective-serv,Not-in-family,White,Male,991,0,20,United-States,<=50K
15976,57,Private,171242,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
21703,42,Private,202872,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,12,United-States,<=50K
7829,46,Private,190487,HS-grad,9,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,28,Ecuador,<=50K
1371,21,Private,118712,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Male,0,1504,40,United-States,<=50K
14871,28,Private,410216,11th,7,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,>50K
14128,38,Self-emp-inc,206951,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,65,United-States,<=50K
2122,47,Self-emp-not-inc,242391,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K
2638,41,Self-emp-inc,177905,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,70,United-States,>50K
30676,28,Private,275116,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
31534,23,Private,118023,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,45,?,<=50K
23521,27,Private,160972,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
30854,23,Private,39615,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,10,United-States,<=50K
24907,31,Private,264864,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
5066,42,Private,176286,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
28611,19,Private,196119,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,35,United-States,<=50K
4107,41,Private,283116,HS-grad,9,Divorced,Craft-repair,Unmarried,White,Female,1506,0,50,United-States,<=50K
20146,46,Private,164749,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
7034,26,Private,187577,Assoc-voc,11,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States,<=50K
12790,55,Private,223613,1st-4th,2,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,30,Cuba,<=50K
7038,46,Local-gov,144531,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K
29496,45,Private,185397,Assoc-acdm,12,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
22709,68,Private,225612,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,35,United-States,>50K
10067,18,Private,152004,11th,7,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,<=50K
9677,38,Private,63509,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
21681,23,Private,133061,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,80,United-States,<=50K
22694,29,Private,143582,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,35,Vietnam,<=50K
17374,52,Private,117674,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
3921,39,Private,328466,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,2407,0,70,Mexico,<=50K
7576,34,Private,137900,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,35,United-States,<=50K
4022,26,Local-gov,425092,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,2174,0,40,United-States,<=50K
27825,48,Self-emp-inc,38240,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,>50K
10004,21,Federal-gov,169003,12th,8,Never-married,Adm-clerical,Own-child,Black,Male,0,0,25,United-States,<=50K
19062,21,Private,129980,9th,5,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K
7107,45,Private,247869,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
3789,56,Private,266091,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,2907,0,52,Cuba,<=50K
15036,55,Private,102058,10th,6,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K
15412,50,Private,231495,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
5367,49,Private,125421,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,>50K
25481,73,Self-emp-inc,191540,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
16851,28,?,196971,Bachelors,13,Never-married,?,Not-in-family,White,Female,0,0,43,United-States,<=50K
11359,38,Private,201328,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
12389,43,Self-emp-not-inc,152958,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,35,United-States,>50K
8162,20,Private,174391,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,0,0,40,United-States,<=50K
1809,44,Private,198282,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
31160,34,Private,228406,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
15614,42,?,321086,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,<=50K
7992,28,Private,98010,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,White,Female,0,0,40,United-States,<=50K
363,47,Self-emp-inc,139268,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,60,United-States,>50K
12350,34,Federal-gov,198265,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,<=50K
9550,18,Private,71792,HS-grad,9,Never-married,Sales,Own-child,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K
20311,64,?,257790,HS-grad,9,Divorced,?,Unmarried,White,Female,0,0,38,United-States,<=50K
8635,38,Private,172571,Some-college,10,Divorced,Craft-repair,Own-child,White,Male,0,0,58,Poland,<=50K
28668,39,State-gov,172700,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,40,United-States,<=50K
27143,60,Self-emp-not-inc,106118,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K
4467,30,Private,70377,HS-grad,9,Divorced,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K
22898,32,Private,210562,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
22050,40,?,253370,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,35,United-States,>50K
12327,35,Self-emp-inc,340110,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
23605,38,Self-emp-not-inc,30916,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
27956,40,Private,111020,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
6301,32,State-gov,117927,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
31095,37,Private,170020,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
31329,37,Private,96330,Some-college,10,Never-married,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K
25139,31,Self-emp-not-inc,216283,Assoc-acdm,12,Married-civ-spouse,Other-service,Wife,White,Female,0,0,35,United-States,>50K
10195,48,Local-gov,246392,Assoc-acdm,12,Separated,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
2942,55,State-gov,294395,Assoc-voc,11,Widowed,Prof-specialty,Unmarried,White,Female,6849,0,40,United-States,<=50K
30867,29,?,65372,Some-college,10,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K
24887,34,Private,184147,HS-grad,9,Separated,Sales,Unmarried,Black,Female,0,0,20,United-States,<=50K
31895,20,Federal-gov,347935,Some-college,10,Never-married,Protective-serv,Own-child,Black,Male,0,0,40,United-States,<=50K
1971,46,Private,121124,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,50,United-States,>50K
23994,35,Local-gov,145308,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
3630,41,Private,282948,Some-college,10,Married-civ-spouse,Tech-support,Husband,Black,Male,3137,0,40,United-States,<=50K
14414,49,Private,184428,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K
3417,38,Private,450924,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,3942,0,40,United-States,<=50K
10020,38,Private,262882,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,40,United-States,<=50K
1142,28,Private,346406,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1672,50,United-States,<=50K
2404,52,Local-gov,317733,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7688,0,40,United-States,>50K
28604,62,?,181063,10th,6,Widowed,?,Not-in-family,White,Female,0,0,30,United-States,<=50K
29078,25,Private,154941,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
1597,50,Self-emp-inc,158294,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,80,United-States,>50K
28880,36,Private,191335,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,56,United-States,<=50K
19971,65,Private,255386,HS-grad,9,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Male,0,0,40,Cambodia,<=50K
